Country ,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
Ireland,2010,2.22E+11,-2.889836298,2450.739405,98.65127796,14.53,-20925416485
Brunei Darussalam,2011,18525128526,20.18050542,1.25791302,59.37941399,6.569,-703751750.6
Cambodia,2011,12829541141,3.36406625,4058.5,39.07436915,0.58,-1509718402
Timor-Leste,2011,1042534600,11.56567327,1,30.9272603,3.532,-82058168.54
Indonesia,2011,8.93E+11,7.465943034,8770.433333,36.73800199,5.15,-11528394762
Lao PDR,2011,8750107402,10.4687176,8029.262555,98.65127796,1.059,-300743507.1
Malaysia,2011,2.98E+11,5.41240809,3.060003011,133.8905966,3.05,2988958790
Myanmar,2011,59977326086,10.25457667,5.444108333,26.44355553,0.733,-2519813313
Philippines,2011,2.34E+11,3.918805781,43.31313692,57.3844126,3.59,342490414.4
Singapore,2011,2.79E+11,1.170798204,1.257775877,126.18065,3.89,-17255458936
Thailand,2011,3.71E+11,3.74309812,30.49173333,119.9257074,0.66,4702082850
Viet Nam,2011,1.73E+11,21.41367928,20509.75,78.37215034,1,-6480000000
China,2011,7.55E+12,8.075684467,6.461461327,174.5277198,4.55,-2.32E+11
Japan,2011,6.23E+12,-1.62208025,79.80701983,225.2205201,4.55,1.18E+11
"Korea, Rep.",2011,1.25E+12,1.281863806,1108.233333,126.1006154,2.99,19874700000
India,2011,1.82E+12,8.733580144,46.67046667,78.83731129,8.215,-23890659988
Uzbekistan,2011,60178909297,21.62650994,2450.739405,98.65127796,4.96,-1611410789
Qatar,2011,1.68E+11,18.27017134,3.64,50.75563553,0.56,9170012637
United States,2011,1.56E+13,2.07771382,1,87.32368548,8.95,1.73E+11
United Kingdom,2011,2.66E+12,2.189184721,0.624140836,151.1483296,8.04,53821554015
France,2011,2.87E+12,0.947960225,2450.739405,98.65127796,9.23,20277561651
Russian Federation,2011,2.05E+12,24.46008606,29.38234137,47.38646572,6.54,11767160000
Germany,2011,3.75E+12,1.069483745,2450.739405,98.65127796,5.82,10373148758
Australia,2011,1.40E+12,6.202098607,0.969463201,99.72233734,5.08,-57328676980
Hungary,2011,1.42E+11,1.928720703,201.055,62.39693201,11.03,-1961626798
Ireland,2011,2.39E+11,1.349718155,2450.739405,98.65127796,15.35,-25222409925
Brunei Darussalam,2012,19048443341,1.218702687,1.249567016,58.65646775,6.66,-859107110.4
Cambodia,2012,14054443213,1.440518127,4033,50.04048956,0.499,-1951922775
Timor-Leste,2012,1160555000,6.160467078,1,35.06486228,3.767,-27715777.18
Indonesia,2012,9.18E+11,3.753878753,9386.629167,38.38928827,4.47,-13716225988
Lao PDR,2012,10192848926,7.528859305,8006.582032,98.65127796,1.404,-634614172.4
Malaysia,2012,3.14E+11,0.999932303,3.088800867,136.8038681,3.1,8001103526
Myanmar,2012,59937796642,3.130096953,640.6534167,31.66735296,0.75,-1333856137
Philippines,2012,2.62E+11,1.994176101,42.22879473,56.30499088,3.5,957805177.3
Singapore,2012,2.95E+11,0.495345771,1.249676204,128.9127791,3.72,-34830382359
Thailand,2012,3.98E+11,1.909144442,31.08309167,121.1165476,0.58,1361534446
Viet Nam,2012,1.96E+11,9.07766069,20828,84.8164707,1.03,-7168000000
China,2012,8.53E+12,2.331217575,6.312332827,180.8735842,4.58,-1.76E+11
Japan,2012,6.27E+12,-0.75609312,79.79045542,228.8037138,4.36,1.17E+11
"Korea, Rep.",2012,1.28E+12,1.25180817,1126.806667,127.4652501,2.81,21102800000
India,2012,1.83E+12,7.934386271,53.43723333,76.9131885,8.138,-15442447343
Uzbekistan,2012,67517349212,15.3987947,2450.739405,98.65127796,4.87,-741158491.4
Qatar,2012,1.87E+11,6.329962236,3.64,56.03114555,0.48,1444230769
United States,2012,1.63E+13,1.870595529,1,87.91684036,8.07,1.27E+11
United Kingdom,2012,2.71E+12,1.538803628,0.633046989,147.7681782,7.88,-34727249184
France,2012,2.68E+12,1.161825032,2450.739405,98.65127796,9.84,19070158223
Russian Federation,2012,2.21E+12,8.907868421,30.83983135,47.2894158,5.44,-1765140000
Germany,2012,3.53E+12,1.496488838,2450.739405,98.65127796,5.38,33639173474
Australia,2012,1.55E+12,1.805164061,0.965801031,101.1867787,5.23,-51807636530
Hungary,2012,1.29E+11,2.892761678,225.1041667,58.56291305,11,-2877531842
Ireland,2012,2.25E+11,2.108272975,2450.739405,98.65127796,15.45,-26152981889
Brunei Darussalam,2013,18094321617,-2.82132117,1.25116567,62.57478931,6.759,-778412341.1
Cambodia,2013,15227991395,0.781387551,4027.25,56.34303705,0.44,-2006202368
Timor-Leste,2013,1395727400,16.64276818,1,35.83467143,4.01,-43190438.95
Indonesia,2013,9.13E+11,4.965990291,10461.24,39.07547414,4.34,-12170055179
Lao PDR,2013,11983252627,6.473972083,7833.22999,98.65127796,1.762,-709968685.7
Malaysia,2013,3.23E+11,0.174474481,3.15090855,140.092354,3.16,2111932222
Myanmar,2013,60269732883,4.378070843,933.5704564,36.77456379,0.759,-2254603965
Philippines,2013,2.84E+11,2.06106335,42.44618483,66.83660253,3.5,-90422443.46
Singapore,2013,3.08E+11,-0.431059392,1.2513,128.8508362,3.86,-19110684888
Thailand,2013,4.20E+11,1.778745892,30.72596667,124.3692257,0.25,-3814466006
Viet Nam,2013,2.14E+11,4.038523638,20933.41667,81.59223551,1.32,-6944000000
China,2013,9.57E+12,2.163370027,6.195758346,186.6093794,4.6,-2.18E+11
Japan,2013,5.21E+12,-0.354375054,97.59565828,233.0385103,4.04,1.45E+11
"Korea, Rep.",2013,1.37E+12,1.018543805,1094.9825,127.9831138,2.75,15551200000
India,2013,1.86E+12,6.186503982,58.59784542,78.18217173,8.06,-26388082470
Uzbekistan,2013,73180037911,11.98789148,2094.988465,19.174792,4.86,-687255065.2
Qatar,2013,1.99E+11,0.767488572,3.64,62.99899154,0.28,8861813187
United States,2013,1.68E+13,1.750949779,1,88.66008223,7.37,1.05E+11
United Kingdom,2013,2.78E+12,2.117063975,0.639660578,145.1453501,7.52,-8222267228
France,2013,2.81E+12,0.778100531,2450.739405,98.65127796,9.91,-13973846914
Russian Federation,2013,2.29E+12,5.320138872,31.83714364,51.20002959,5.46,17287630000
Germany,2013,3.73E+12,1.959391683,2450.739405,98.65127796,5.23,26093621455
Australia,2013,1.58E+12,-0.163781511,1.035843097,105.4431243,5.66,-55242404632
Hungary,2013,1.36E+11,2.82053189,223.695,60.3170279,10.18,-278231951.3
Ireland,2013,2.38E+11,1.133260286,2450.739405,98.65127796,13.73,-21251151864
Brunei Darussalam,2014,17097802753,-1.846457284,1.267040123,67.49857434,6.86,-573906641.3
Cambodia,2014,16702610842,2.632195879,4037.5,67.37665023,0.69,-1771407708
Timor-Leste,2014,1447535200,-0.728051105,1,41.43747583,4.228,-21238824.86
Indonesia,2014,8.91E+11,5.443174549,11865.2113,39.48385024,4.05,-14733198283
Lao PDR,2014,13279248479,5.726559182,8042.42157,98.65127796,2.123,-860588563.8
Malaysia,2014,3.38E+11,2.467466784,3.272859746,137.1023286,2.88,5440442809
Myanmar,2014,65446196920,4.173531359,984.3457476,39.53971476,0.755,-2175015284
Philippines,2014,2.97E+11,3.053055308,44.3951543,68.57019746,3.6,1014348569
Singapore,2014,3.15E+11,-0.267270042,1.26705,128.445569,3.74,-16220985754
Thailand,2014,4.07E+11,1.441465365,32.47983333,127.0495523,0.58,766299562.5
Viet Nam,2014,2.33E+11,3.698137968,21148,88.09204514,1.26,-8050000000
China,2014,1.05E+13,1.031063687,6.143434094,190.8709217,4.63,-1.45E+11
Japan,2014,4.90E+12,1.686294786,105.944781,235.0225227,3.59,1.18E+11
"Korea, Rep.",2014,1.48E+12,0.906896751,1052.84,132.9064959,3.08,18724900000
India,2014,2.04E+12,3.331756922,61.02951446,77.89935376,7.976,-22890162761
Uzbekistan,2014,80845385816,14.02491763,2310.948159,18.21130835,5.09,-804245735.8
Qatar,2014,2.06E+11,-1.482751063,3.64,67.14445895,0.2,5707967033
United States,2014,1.76E+13,1.869891372,1,89.49218445,6.17,1.36E+11
United Kingdom,2014,3.06E+12,1.317778214,0.607729627,135.302828,6.11,-1.73E+11
France,2014,2.86E+12,0.576944233,2450.739405,98.65127796,10.27,47288734074
Russian Federation,2014,2.06E+12,7.490071117,38.37820714,54.29533089,5.16,35050840000
Germany,2014,3.89E+12,1.877939854,2450.739405,98.65127796,4.98,87919371869
Australia,2014,1.47E+12,1.404893098,1.109363293,108.4670802,6.08,-40637704364
Hungary,2014,1.41E+11,3.692726095,232.6016667,57.19972533,7.73,-3819551081
Ireland,2014,2.60E+11,0.182007393,2450.739405,98.65127796,11.86,-6747671078
Brunei Darussalam,2015,12930291488,-17.61280313,1.374910845,80.80411669,7.683,-171289167.8
Cambodia,2015,18049954289,1.786112458,4067.75,72.40213415,0.39,-1735043113
Timor-Leste,2015,1595205100,7.202726588,1,40.26174014,4.451,-30328700
Indonesia,2015,8.61E+11,3.98024266,13389.41294,39.46442005,4.51,-10704478317
Lao PDR,2015,14426381187,2.348496007,8127.610598,98.65127796,2.496,-1038062947
Malaysia,2015,3.01E+11,1.218055734,3.905500263,132.8127793,3.1,684808753.5
Myanmar,2015,59687411769,4.136696739,1162.615329,46.37251015,0.77,-4083839112
Philippines,2015,3.06E+11,-0.719682789,45.50283994,70.91656388,3.07,-99650560.95
Singapore,2015,3.08E+11,3.07195501,1.374825,122.8592629,3.79,-24551342898
Thailand,2015,4.01E+11,0.722113573,34.24771667,127.7306039,0.6,-3936528344
Viet Nam,2015,2.39E+11,-1.716511707,21697.5675,96.15775001,1.85,-10700000000
China,2015,1.11E+13,-0.002944094,6.227488673,202.1138887,4.65,-68098649765
Japan,2015,4.44E+12,2.111298993,121.0440257,233.4079013,3.39,1.33E+11
"Korea, Rep.",2015,1.47E+12,3.185595967,1130.9525,135.5456811,3.55,19583000000
India,2015,2.10E+12,2.279588101,64.15194446,78.01191058,7.891,-36495216491
Uzbekistan,2015,86196264742,10.50069952,2567.987213,19.10493727,5.15,-1036625230
Qatar,2015,1.62E+11,-25.1298075,3.64,88.56012349,0.17,2952472527
United States,2015,1.82E+13,1.000541633,1,88.98236708,5.28,-2.09E+11
United Kingdom,2015,2.93E+12,0.660990521,0.654545479,134.0908273,5.3,-1.06E+11
France,2015,2.44E+12,1.138248785,2450.739405,98.65127796,10.35,8404253504
Russian Federation,2015,1.36E+12,7.249735907,60.93765011,61.82658261,5.57,15232100000
Germany,2015,3.36E+12,1.853678824,2450.739405,98.65127796,4.62,68388393319
Australia,2015,1.35E+12,-0.622921249,1.331090262,113.1862782,6.06,-38634724990
Hungary,2015,1.25E+11,2.775741908,279.3325,56.71441984,6.81,-2890619219
Ireland,2015,2.92E+11,8.300141348,2450.739405,98.65127796,9.91,-47433558093
Brunei Darussalam,2016,11400466356,-9.167861616,1.381346877,92.59695025,8.505,150550827.3
Cambodia,2016,20016747858,3.475254587,4058.694579,79.17482843,0.72,-2396841375
Timor-Leste,2016,1652603700,0.222525734,1,44.4073797,4.66,7188000
Indonesia,2016,9.32E+11,2.438924087,13308.3268,40.35709044,4.3,-16135916019
Lao PDR,2016,15912495369,3.022306443,8124.366756,98.65127796,2.883,-920111853.7
Malaysia,2016,3.01E+11,1.658259966,4.148300663,128.5841865,3.44,-3372772123
Myanmar,2016,63216143490,3.353781944,1234.869517,49.69604402,1.049,-3278096410
