Country ,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
Hungary,2020,1.57E+11,6.401668541,307.9966667,69.31264924,4.25,-2756453067
Ireland,2020,4.29E+11,-1.23404263,2450.739405,98.65127796,5.62,-1.10E+11
Brunei Darussalam,2021,14006496617,15.4659287,1.343806963,84.57934313,4.91,-204749379.8
Cambodia,2021,26961061152,1.291945,4098.722795,143.8284906,0.4,-3391043981
Timor-Leste,2021,3621958000,59.02701503,1,30.88317001,2.34,419035233.2
Indonesia,2021,1.19E+12,6.003421337,14308.1439,46.36034752,3.83,-17286354128
Lao PDR,2021,18827148529,3.713448367,9697.915789,98.65127796,4.15,-1071913716
Malaysia,2021,3.74E+11,5.707515694,4.143297598,132.5307572,4.083,-7460181234
Myanmar,2021,66262813093,19.51720891,2450.739405,98.65127796,4.34,-1467228390
Philippines,2021,3.94E+11,2.282478459,49.25459773,90.36719081,3.4,-9732242739
Singapore,2021,4.24E+11,8.784365575,1.343483333,98.65127796,4.64,-87742137975
Thailand,2021,5.06E+11,1.709812993,31.97709344,148.8353872,1.21,3980422265
Viet Nam,2021,3.66E+11,2.778257342,23159.78259,127.2348781,2.38,-15341000000
China,2021,1.78E+13,4.55232658,6.44897518,203.8378734,4.55,-1.65E+11
Japan,2021,5.03E+12,-0.190060625,109.7543238,281.9667648,2.83,1.75E+11
"Korea, Rep.",2021,1.82E+12,2.762931941,1143.951667,173.7184024,3.64,43940200000
India,2021,3.15E+12,8.538525483,73.91801282,82.54413818,6.38,-27488543123
Uzbekistan,2021,69600614987,13.54390113,10609.46439,19.67085775,5.419,-2272290865
Qatar,2021,1.80E+11,22.46602212,3.64,93.01092916,0.14,1253296703
United States,2021,2.33E+13,4.492792236,1,116.8724229,5.35,-99015000000
United Kingdom,2021,3.14E+12,-0.120427085,0.727064945,165.6254009,4.826,1.55E+11
France,2021,2.96E+12,1.42394827,2450.739405,98.65127796,7.86,13026648829
Russian Federation,2021,1.84E+12,18.99051679,73.65435,98.65127796,4.72,25432780000
Germany,2021,4.28E+12,3.019638074,2450.739405,98.65127796,3.64,1.19E+11
Australia,2021,1.56E+12,3.078774164,1.33122426,139.0002639,5.12,-20876515984
Hungary,2021,1.82E+11,6.445097993,303.1408333,72.05594721,4.05,-3801865480
Ireland,2021,5.13E+11,0.477482551,2450.739405,98.65127796,6.19,59233776504
Brunei Darussalam,2022,16681536467,24.23672684,1.378956397,70.07220045,4.452,292416275.5
Cambodia,2022,29504829319,4.070391065,4102.037865,142.0823188,0.226,-3428345015
Timor-Leste,2022,3204753000,11.35539551,1,37.90713169,1.786,395383447.1
Indonesia,2022,1.32E+12,9.567844361,14849.85394,43.5359828,3.46,-14816422520
Lao PDR,2022,15468785204,15.77394592,14035.22669,98.65127796,3.819,-635807276
Malaysia,2022,4.07E+11,6.445753155,4.401076345,119.173065,3.629,-3967084186
Myanmar,2022,62263466264,6.163716941,2450.739405,98.65127796,2.956,-1467228390
Philippines,2022,4.04E+11,5.481077742,54.47778584,85.87058198,2.375,-5379698122
Singapore,2022,4.67E+11,9.051761389,1.378666667,98.65127796,3.59,-90055705996
Thailand,2022,4.95E+11,4.724843041,35.06135021,143.8909099,0.94,-3717019036
Viet Nam,2022,4.09E+11,3.860477768,23271.2125,122.5442469,1.54,-15226000000
China,2022,1.80E+13,2.248974454,6.737158112,216.1449944,4.98,-30474555668
Japan,2022,4.26E+12,0.333979877,131.4981404,284.5064793,2.6,1.28E+11
"Korea, Rep.",2022,1.67E+12,1.275522574,1291.446667,173.8496083,2.86,48411600000
India,2022,3.42E+12,8.225869499,78.60449058,98.65127796,4.822,-35408008686
Uzbekistan,2022,80391853887,13.84832757,11050.14542,21.28517531,4.507,-2494257890
Qatar,2022,2.36E+11,26.14119995,3.64,83.08118971,0.13,2307692308
United States,2022,2.54E+13,7.040723092,1,98.65127796,3.65,38173000000
United Kingdom,2022,3.09E+12,5.152902299,0.811301716,163.9409138,3.73,80704411997
France,2022,2.78E+12,2.947216929,2450.739405,98.65127796,7.31,13333972005
Russian Federation,2022,2.24E+12,15.8047099,68.48494167,98.65127796,3.867,26967700000
Germany,2022,4.08E+12,5.268325424,2450.739405,98.65127796,3.14,1.31E+11
Australia,2022,1.69E+12,7.123075723,1.441664459,134.2028013,3.7,54258632808
Hungary,2022,1.77E+11,14.48927895,372.5958333,65.28209871,3.61,-3886946396
Ireland,2022,5.33E+11,6.582264283,2450.739405,98.65127796,4.48,35688700620
