,Country Name,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
57,Philippines,2010,208000000000.0,4.37088436,45.10966418,58.81292887,3.61,1641779592.0
58,Singapore,2010,240000000000.0,1.107808713,1.363508333,123.2786032,4.12,-19915243153.0
59,Thailand,2010,341000000000.0,4.080989227,31.685705,108.9809213,0.62,-6615343922.0
60,Viet Nam,2010,147000000000.0,42.30326725,18612.91667,90.45445616,1.11,-7100000000.0
61,China,2010,6090000000000.0,6.881380251,6.770269029,176.126637,4.53,-186000000000.0
62,Japan,2010,5760000000000.0,-1.88074195,87.779875,215.3363812,5.1,72215534552.0
63,"Korea, Rep.",2010,1140000000000.0,2.737496837,1156.46,125.5493697,3.32,18724200000.0
64,India,2010,1680000000000.0,10.52603086,45.72581212,77.67995244,8.3,-11428785746.0
65,Uzbekistan,2010,49765676402.0,48.58168995,2450.739405212136,98.6512779569836,5.36,-1659799355.0
66,Qatar,2010,125000000000.0,6.979329894,3.64,58.12243621,0.45,-1467228390.228881
67,United States,2010,15000000000000.0,1.201791625,1.0,84.84881945,9.63,85789000000.0
68,United Kingdom,2010,2490000000000.0,1.583741327,0.647179346,163.4471125,7.79,-12327098017.0
69,France,2010,2650000000000.0,1.069697476,2450.739405212136,98.6512779569836,9.28,33671093774.0
70,Russian Federation,2010,1520000000000.0,14.19110957,30.36791534,51.43910689,7.37,9448500000.0
71,Germany,2010,3400000000000.0,0.645275771,2450.739405212136,98.6512779569836,6.97,60605522285.0
72,Australia,2010,1150000000000.0,1.151858818,1.090159486,100.4544988,5.21,-17487902843.0
73,Hungary,2010,132000000000.0,2.532570453,207.9441667,60.73853125,11.17,-3936697507.0
74,Ireland,2010,222000000000.0,-2.889836298,2450.739405212136,98.6512779569836,14.53,-20925416485.0
75,Brunei Darussalam,2011,18525128526.0,20.18050542,1.25791302,59.37941399,6.569,-703751750.6
76,Cambodia,2011,12829541141.0,3.36406625,4058.5,39.07436915,0.58,-1509718402.0
77,Timor-Leste,2011,1042534600.0,11.56567327,1.0,30.9272603,3.532,-82058168.54
78,Indonesia,2011,893000000000.0,7.465943034,8770.433333,36.73800199,5.15,-11528394762.0
79,Lao PDR,2011,8750107402.0,10.4687176,8029.262555,98.6512779569836,1.059,-300743507.1
80,Malaysia,2011,298000000000.0,5.41240809,3.060003011,133.8905966,3.05,2988958790.0
81,Myanmar,2011,59977326086.0,10.25457667,5.444108333,26.44355553,0.733,-2519813313.0
82,Philippines,2011,234000000000.0,3.918805781,43.31313692,57.3844126,3.59,342490414.4
83,Singapore,2011,279000000000.0,1.170798204,1.257775877,126.18065,3.89,-17255458936.0
84,Thailand,2011,371000000000.0,3.74309812,30.49173333,119.9257074,0.66,4702082850.0
85,Viet Nam,2011,173000000000.0,21.41367928,20509.75,78.37215034,1.0,-6480000000.0
86,China,2011,7550000000000.0,8.075684467,6.461461327,174.5277198,4.55,-232000000000.0
87,Japan,2011,6230000000000.0,-1.62208025,79.80701983,225.2205201,4.55,118000000000.0
88,"Korea, Rep.",2011,1250000000000.0,1.281863806,1108.233333,126.1006154,2.99,19874700000.0
89,India,2011,1820000000000.0,8.733580144,46.67046667,78.83731129,8.215,-23890659988.0
90,Uzbekistan,2011,60178909297.0,21.62650994,2450.739405212136,98.6512779569836,4.96,-1611410789.0
91,Qatar,2011,168000000000.0,18.27017134,3.64,50.75563553,0.56,9170012637.0
92,United States,2011,15600000000000.0,2.07771382,1.0,87.32368548,8.95,173000000000.0
93,United Kingdom,2011,2660000000000.0,2.189184721,0.624140836,151.1483296,8.04,53821554015.0
94,France,2011,2870000000000.0,0.947960225,2450.739405212136,98.6512779569836,9.23,20277561651.0
95,Russian Federation,2011,2050000000000.0,24.46008606,29.38234137,47.38646572,6.54,11767160000.0
96,Germany,2011,3750000000000.0,1.069483745,2450.739405212136,98.6512779569836,5.82,10373148758.0
97,Australia,2011,1400000000000.0,6.202098607,0.969463201,99.72233734,5.08,-57328676980.0
98,Hungary,2011,142000000000.0,1.928720703,201.055,62.39693201,11.03,-1961626798.0
99,Ireland,2011,239000000000.0,1.349718155,2450.739405212136,98.6512779569836,15.35,-25222409925.0
100,Brunei Darussalam,2012,19048443341.0,1.218702687,1.249567016,58.65646775,6.66,-859107110.4
101,Cambodia,2012,14054443213.0,1.440518127,4033.0,50.04048956,0.499,-1951922775.0
102,Timor-Leste,2012,1160555000.0,6.160467078,1.0,35.06486228,3.767,-27715777.18
103,Indonesia,2012,918000000000.0,3.753878753,9386.629167,38.38928827,4.47,-13716225988.0
104,Lao PDR,2012,10192848926.0,7.528859305,8006.582032,98.6512779569836,1.404,-634614172.4
105,Malaysia,2012,314000000000.0,0.999932303,3.088800867,136.8038681,3.1,8001103526.0
106,Myanmar,2012,59937796642.0,3.130096953,640.6534167,31.66735296,0.75,-1333856137.0
107,Philippines,2012,262000000000.0,1.994176101,42.22879473,56.30499088,3.5,957805177.3
108,Singapore,2012,295000000000.0,0.495345771,1.249676204,128.9127791,3.72,-34830382359.0
109,Thailand,2012,398000000000.0,1.909144442,31.08309167,121.1165476,0.58,1361534446.0
110,Viet Nam,2012,196000000000.0,9.07766069,20828.0,84.8164707,1.03,-7168000000.0
111,China,2012,8530000000000.0,2.331217575,6.312332827,180.8735842,4.58,-176000000000.0
112,Japan,2012,6270000000000.0,-0.75609312,79.79045542,228.8037138,4.36,117000000000.0
113,"Korea, Rep.",2012,1280000000000.0,1.25180817,1126.806667,127.4652501,2.81,21102800000.0
114,India,2012,1830000000000.0,7.934386271,53.43723333,76.9131885,8.138,-15442447343.0
115,Uzbekistan,2012,67517349212.0,15.3987947,2450.739405212136,98.6512779569836,4.87,-741158491.4
116,Qatar,2012,187000000000.0,6.329962236,3.64,56.03114555,0.48,1444230769.0
117,United States,2012,16300000000000.0,1.870595529,1.0,87.91684036,8.07,127000000000.0
118,United Kingdom,2012,2710000000000.0,1.538803628,0.633046989,147.7681782,7.88,-34727249184.0
119,France,2012,2680000000000.0,1.161825032,2450.739405212136,98.6512779569836,9.84,19070158223.0
120,Russian Federation,2012,2210000000000.0,8.907868421,30.83983135,47.2894158,5.44,-1765140000.0
121,Germany,2012,3530000000000.0,1.496488838,2450.739405212136,98.6512779569836,5.38,33639173474.0
122,Australia,2012,1550000000000.0,1.805164061,0.965801031,101.1867787,5.23,-51807636530.0
123,Hungary,2012,129000000000.0,2.892761678,225.1041667,58.56291305,11.0,-2877531842.0
124,Ireland,2012,225000000000.0,2.108272975,2450.739405212136,98.6512779569836,15.45,-26152981889.0
125,Brunei Darussalam,2013,18094321617.0,-2.82132117,1.25116567,62.57478931,6.759,-778412341.1
126,Cambodia,2013,15227991395.0,0.781387551,4027.25,56.34303705,0.44,-2006202368.0
127,Timor-Leste,2013,1395727400.0,16.64276818,1.0,35.83467143,4.01,-43190438.95
128,Indonesia,2013,913000000000.0,4.965990291,10461.24,39.07547414,4.34,-12170055179.0
129,Lao PDR,2013,11983252627.0,6.473972083,7833.22999,98.6512779569836,1.762,-709968685.7
130,Malaysia,2013,323000000000.0,0.174474481,3.15090855,140.092354,3.16,2111932222.0
131,Myanmar,2013,60269732883.0,4.378070843,933.5704564,36.77456379,0.759,-2254603965.0
132,Philippines,2013,284000000000.0,2.06106335,42.44618483,66.83660253,3.5,-90422443.46
133,Singapore,2013,308000000000.0,-0.431059392,1.2513,128.8508362,3.86,-19110684888.0
134,Thailand,2013,420000000000.0,1.778745892,30.72596667,124.3692257,0.25,-3814466006.0
