Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Myanmar,MMR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,13.61865795,4.878599246,7.043211894,10.25457667,3.130096953,4.378070843,4.173531359,4.136696739,3.353781944,5.873408947,5.34109464,5.422933005,5.344109712,19.51720891,6.163716941
Myanmar,MMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.698,0.709,0.719,0.733,0.75,0.759,0.755,0.77,1.049,1.36,0.77,0.41,1.48,4.34,2.956
Myanmar,MMR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-863880447.3,-1078972201,-901133534.9,-2519813313,-1333856137,-2254603965,-2175015284,-4083839112,-3278096410,-4804272487,-1768195523,-1735589413,,,
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1.82E+11,1.76E+11,2.08E+11,2.34E+11,2.62E+11,2.84E+11,2.97E+11,3.06E+11,3.19E+11,3.28E+11,3.47E+11,3.77E+11,3.62E+11,3.94E+11,4.04E+11
Philippines,PHL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,44.32328761,47.67968845,45.10966418,43.31313692,42.22879473,42.44618483,44.3951543,45.50283994,47.49246386,50.40371979,52.66142995,51.79578265,49.624096,49.25459773,54.47778584
Philippines,PHL,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,56.99872386,59.4116189,58.81292887,57.3844126,56.30499088,66.83660253,68.57019746,70.91656388,74.05651792,75.41772137,74.51518725,76.59717596,90.49053168,90.36719081,85.87058198
Philippines,PHL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.179216183,2.738258566,4.37088436,3.918805781,1.994176101,2.06106335,3.053055308,-0.719682789,1.280311738,2.320259947,3.740653831,0.697076301,1.650490185,2.282478459,5.481077742
Philippines,PHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.72,3.86,3.61,3.59,3.5,3.5,3.6,3.07,2.7,2.55,2.34,2.24,2.52,3.4,2.375
Philippines,PHL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,630006878,-167490840.2,1641779592,342490414.4,957805177.3,-90422443.46,1014348569,-99650560.95,-5882813657,-6951710900,-5832900584,-5320429168,-3260102017,-9732242739,-5379698122
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1.94E+11,1.94E+11,2.40E+11,2.79E+11,2.95E+11,3.08E+11,3.15E+11,3.08E+11,3.19E+11,3.43E+11,3.77E+11,3.77E+11,3.48E+11,4.24E+11,4.67E+11
Singapore,SGP,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.414860833,1.454514713,1.363508333,1.257775877,1.249676204,1.2513,1.26705,1.374825,1.381546364,1.380925,1.348841667,1.364158333,1.379741667,1.343483333,1.378666667
Singapore,SGP,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,121.7085685,131.4503292,123.2786032,126.18065,128.9127791,128.8508362,128.445569,122.8592629,127.5285323,122.3681377,118.5630253,123.0468461,148.9481813,,
Singapore,SGP,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-1.381555432,2.953924644,1.107808713,1.170798204,0.495345771,-0.431059392,-0.267270042,3.07195501,0.469483247,2.875152985,3.534650755,-0.201648173,-2.696454848,8.784365575,9.051761389
Singapore,SGP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.96,5.86,4.12,3.89,3.72,3.86,3.74,3.79,4.08,4.2,3.606,3.1,4.1,4.64,3.59
Singapore,SGP,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-5633910991,8603556832,-19915243153,-17255458936,-34830382359,-19110684888,-16220985754,-24551342898,-25861166111,-36941108315,-58349843384,-39191638312,-40055034457,-87742137975,-90055705996
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,2.91E+11,2.82E+11,3.41E+11,3.71E+11,3.98E+11,4.20E+11,4.07E+11,4.01E+11,4.13E+11,4.56E+11,5.07E+11,5.44E+11,5.00E+11,5.06E+11,4.95E+11
Thailand,THA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,33.31330064,34.28577412,31.685705,30.49173333,31.08309167,30.72596667,32.47983333,34.24771667,35.29638333,33.93981106,32.31022574,31.04760578,31.29367321,31.97709344,35.06135021
Thailand,THA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,102.4456963,109.9220731,108.9809213,119.9257074,121.1165476,124.3692257,127.0495523,127.7306039,125.3963428,124.0447401,122.8194084,123.3986339,146.5948861,148.8353872,143.8909099
Thailand,THA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.133780352,0.194772131,4.080989227,3.74309812,1.909144442,1.778745892,1.441465365,0.722113573,2.63616762,1.89994499,1.428586164,1.014423406,-1.281944318,1.709812993,4.724843041
Thailand,THA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.18,1.49,0.62,0.66,0.58,0.25,0.58,0.6,0.69,0.83,0.77,0.72,1.1,1.21,0.94
Thailand,THA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-6221859991,-415179561.5,-6615343922,4702082850,1361534446,-3814466006,766299562.5,-3936528344,9906454565,5896855332,3380091961,4644836019,23543528522,3980422265,-3717019036
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,99130304099,1.06E+11,1.47E+11,1.73E+11,1.96E+11,2.14E+11,2.33E+11,2.39E+11,2.57E+11,2.81E+11,3.10E+11,3.34E+11,3.47E+11,3.66E+11,4.09E+11
Viet Nam,VNM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,16302.25,17065.08333,18612.91667,20509.75,20828,20933.41667,21148,21697.5675,21935.00083,22370.08667,22602.05,23050.24167,23208.36833,23159.78259,23271.2125
Viet Nam,VNM,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,93.65716993,105.6069381,90.45445616,78.37215034,84.8164707,81.59223551,88.09204514,96.15775001,104.580456,107.0262351,108.5349052,112.5232876,122.8589232,127.2348781,122.5442469
Viet Nam,VNM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,22.67331617,6.215623151,42.30326725,21.41367928,9.07766069,4.038523638,3.698137968,-1.716511707,1.819535928,4.362920148,3.6266473,2.423226942,1.467478148,2.778257342,3.860477768
Viet Nam,VNM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.893,1.74,1.11,1,1.03,1.32,1.26,1.85,1.85,1.87,1.16,1.68,2.1,2.38,1.54
Viet Nam,VNM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-9279000000,-6900000000,-7100000000,-6480000000,-7168000000,-6944000000,-8050000000,-10700000000,-11600000000,-13620000000,-14902000000,-15635000000,-15420000000,-15341000000,-15226000000
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13,1.78E+13,1.80E+13
China,CHN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.948655,6.831416052,6.770269029,6.461461327,6.312332827,6.195758346,6.143434094,6.227488673,6.644477829,6.758755086,6.615957177,6.90838501,6.900767269,6.44897518,6.737158112
China,CHN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,148.8409141,175.0913789,176.126637,174.5277198,180.8735842,186.6093794,190.8709217,202.1138887,207.6737579,201.406398,195.0358759,197.8865472,211.8916376,203.8378734,216.1449944
China,CHN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.795346038,-0.209533359,6.881380251,8.075684467,2.331217575,2.163370027,1.031063687,-0.002944094,1.407346027,4.232681976,3.499747636,1.286700406,0.492493918,4.55232658,2.248974454
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.59,4.72,4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5,4.55,4.98
China,CHN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1.15E+11,-87167067370,-1.86E+11,-2.32E+11,-1.76E+11,-2.18E+11,-1.45E+11,-68098649765,41674876170,-27790987920,-92338473352,-50259822365,-99374807720,-1.65E+11,-30474555668
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,5.11E+12,5.29E+12,5.76E+12,6.23E+12,6.27E+12,5.21E+12,4.90E+12,4.44E+12,5.00E+12,4.93E+12,5.04E+12,5.12E+12,5.06E+12,5.03E+12,4.26E+12
Japan,JPN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,103.359494,93.57008909,87.779875,79.80701983,79.79045542,97.59565828,105.944781,121.0440257,108.7929,112.1661411,110.4231793,109.0096659,106.7745823,109.7543238,131.4981404
Japan,JPN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,198.3869428,216.0249033,215.3363812,225.2205201,228.8037138,233.0385103,235.0225227,233.4079013,239.5913144,244.0197045,248.1256763,252.7112936,280.3703056,281.9667648,284.5064793
Japan,JPN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-0.911530288,-0.569564925,-1.88074195,-1.62208025,-0.75609312,-0.354375054,1.686294786,2.111298993,0.419944376,-0.074349504,-0.000237506,0.634803166,0.941449701,-0.190060625,0.333979877
Japan,JPN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,5.07,5.1,4.55,4.36,4.04,3.59,3.39,3.13,2.82,2.47,2.35,2.81,2.83,2.6
Japan,JPN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,89018788218,61450645281,72215534552,1.18E+11,1.17E+11,1.45E+11,1.18E+11,1.33E+11,1.38E+11,1.55E+11,1.35E+11,2.18E+11,87533471953,1.75E+11,1.28E+11
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1.05E+12,9.44E+11,1.14E+12,1.25E+12,1.28E+12,1.37E+12,1.48E+12,1.47E+12,1.50E+12,1.62E+12,1.73E+12,1.65E+12,1.64E+12,1.82E+12,1.67E+12
"Korea, Rep.",KOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1100.125833,1277.245833,1156.46,1108.233333,1126.806667,1094.9825,1052.84,1130.9525,1160.7675,1131.000833,1100.163333,1165.3575,1180.265833,1143.951667,1291.446667
"Korea, Rep.",KOR,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,123.5372649,129.9915368,125.5493697,126.1006154,127.4652501,127.9831138,132.9064959,135.5456811,138.2977531,137.841483,142.2596611,151.3958148,164.8782634,173.7184024,173.8496083
