Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.78,9.25,9.63,8.95,8.07,7.37,6.17,5.28,4.87,4.36,3.9,3.67,8.05,5.35,3.65
United States,USA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,2491000000,1.52E+11,85789000000,1.73E+11,1.27E+11,1.05E+11,1.36E+11,-2.09E+11,-1.75E+11,28590000000,-3.45E+11,-2.01E+11,1.48E+11,-99015000000,38173000000
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2.93E+12,2.41E+12,2.49E+12,2.66E+12,2.71E+12,2.78E+12,3.06E+12,2.93E+12,2.69E+12,2.68E+12,2.87E+12,2.85E+12,2.70E+12,3.14E+12,3.09E+12
United Kingdom,GBR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.54396625,0.641919263,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716
United Kingdom,GBR,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,158.7539533,163.2394035,163.4471125,151.1483296,147.7681782,145.1453501,135.302828,134.0908273,140.2754507,145.286778,148.0237457,140.670149,163.8312341,165.6254009,163.9409138
United Kingdom,GBR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.403280075,1.891111935,1.583741327,2.189184721,1.538803628,2.117063975,1.317778214,0.660990521,1.964798274,1.856541047,1.922052394,2.115732743,5.083623429,-0.120427085,5.152902299
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.62,7.54,7.79,8.04,7.88,7.52,6.11,5.3,4.81,4.33,4,3.74,4.472,4.826,3.73
United Kingdom,GBR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,1.03E+11,-62945021961,-12327098017,53821554015,-34727249184,-8222267228,-1.73E+11,-1.06E+11,-2.92E+11,46685075527,-3576693950,-41289065813,-1.41E+11,1.55E+11,80704411997
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2.93E+12,2.70E+12,2.65E+12,2.87E+12,2.68E+12,2.81E+12,2.86E+12,2.44E+12,2.47E+12,2.60E+12,2.79E+12,2.73E+12,2.65E+12,2.96E+12,2.78E+12
France,FRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,
France,FRA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,
France,FRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.36707384,0.066627476,1.069697476,0.947960225,1.161825032,0.778100531,0.576944233,1.138248785,0.522559343,0.521577263,0.992224566,1.278592146,2.839876196,1.42394827,2.947216929
France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.39,9.12,9.28,9.23,9.84,9.91,10.27,10.35,10.06,9.41,9.02,8.41,8.01,7.86,7.31
France,FRA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,68001785591,70295520050,33671093774,20277561651,19070158223,-13973846914,47288734074,8404253504,41841316017,12702511140,61682963435,30864497546,9116589362,13026648829,13333972005
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1.66E+12,1.22E+12,1.52E+12,2.05E+12,2.21E+12,2.29E+12,2.06E+12,1.36E+12,1.28E+12,1.57E+12,1.66E+12,1.69E+12,1.49E+12,1.84E+12,2.24E+12
Russian Federation,RUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,24.852875,31.74035833,30.36791534,29.38234137,30.83983135,31.83714364,38.37820714,60.93765011,67.05593333,58.34280119,62.66813333,64.73765833,72.10490833,73.65435,68.48494167
Russian Federation,RUS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,39.50786051,49.29881786,51.43910689,47.38646572,47.2894158,51.20002959,54.29533089,61.82658261,59.44582853,59.52220741,59.11861639,58.87829663,69.9295269,,
Russian Federation,RUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,18.01351834,1.970612603,14.19110957,24.46008606,8.907868421,5.320138872,7.490071117,7.249735907,2.844222698,5.349815088,9.997976711,3.263132819,0.898246027,18.99051679,15.8047099
Russian Federation,RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.21,8.3,7.37,6.54,5.44,5.46,5.16,5.57,5.56,5.21,4.85,4.5,5.59,4.72,3.867
